,Nr. Crt.,Nume,Cod A.N.M.C.S.,Judet,Clasificare,TIP USP (in functie de specificul patologiei tratate),TIP USP (in functie de regimul proprietatii),TIP USP (din punct de vedere al invatamantului si al cercetarii stiintifice medicale),Adresa completa a sediului principal,Adresa email oficiala,Website,Autoritatea tutelara,Acreditare ciclul I,Acreditare ciclul II,,__1,__2
636,637,SOCIETATEA AVITUM SRL - PUNCT DE LUCRU SANGEORGIU DE MURES,B269,Mures,Neclasificat,specialitate,privat,fara invatamant,"Strada Bernd Braun, nr. 1, Sanandrei, TIMIS",corina.marosi@bbraun.com,www.bbraun.ro,privat,-,Unitate aflata in proces de acreditare,,,
637,638,SOCIETATEA AVITUM SRL - PUNCT DE LUCRU SFANTU GHEORGHE,B270,Covasna,Neclasificat,specialitate,privat,fara invatamant,"Strada Bernd Braun, nr. 1, Sanandrei, TIMIS",corina.marosi@bbraun.com,www.bbraun.ro,privat,-,Unitate aflata in proces de acreditare,,,
638,639,SOCIETATEA AVITUM SRL - PUNCT DE LUCRU RESITA,B271,Caras-Severin,Neclasificat,specialitate,privat,fara invatamant,"Strada Bernd Braun, nr. 1, Sanandrei, TIMIS",corina.marosi@bbraun.com,www.bbraun.ro,privat,-,Unitate aflata in proces de acreditare,,,
639,640,SOCIETATEA AVITUM SRL - PUNCT DE LUCRU SUCEAVA,B272,Suceava,Neclasificat,specialitate,privat,fara invatamant,"Strada Bernd Braun, nr. 1, Sanandrei, TIMIS",corina.marosi@bbraun.com,www.bbraun.ro,privat,-,Unitate aflata in proces de acreditare,,,
640,641,SOCIETATEA AVITUM SRL - PUNCT DE LUCRU TARGU JIU,B273,Gorj,Neclasificat,specialitate,privat,fara invatamant,"Strada Bernd Braun, nr. 1, Sanandrei, TIMIS",corina.marosi@bbraun.com,www.bbraun.ro,privat,-,Unitate aflata in proces de acreditare,,,
641,642,SOCIETATEA AVITUM SRL - PUNCT DE LUCRU CLUJ-NAPOCA,B274,Cluj,Neclasificat,specialitate,privat,fara invatamant,"Strada Bernd Braun, nr. 1, Sanandrei, TIMIS",corina.marosi@bbraun.com,www.bbraun.ro,privat,-,Unitate aflata in proces de acreditare,,,
642,643,SOCIETATEA AVITUM SRL - PUNCT DE LUCRU BAIA MARE,B275,Maramures,Neclasificat,specialitate,privat,fara invatamant,"Strada Bernd Braun, nr. 1, Sanandrei, TIMIS",corina.marosi@bbraun.com,www.bbraun.ro,privat,-,Unitate aflata in proces de acreditare,,,
643,644,SOCIETATEA AVITUM SRL - PUNCT DE LUCRU ARAD,B276,Arad,Neclasificat,specialitate,privat,fara invatamant,"Strada Bernd Braun, nr. 1, Sanandrei, TIMIS",corina.marosi@bbraun.com,www.bbraun.ro,privat,-,Unitate aflata in proces de acreditare,,,
644,645,SOCIETATEA FRESENIUS NEPHROCARE ROMANIA SRL - PUNCT DE LUCRU PLOIESTI 2,B277,Prahova,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",madalina.fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
645,646,SOCIETATEA FRESENIUS NEPHROCARE ROMANIA SRL- PUNCT DE LUCRU ZALAU,B278,Salaj,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",madalina.fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
646,647,SOCIETATEA FRESENIUS NEPHROCARE ROMANIA SRL - PUNCT DE LUCRU RADAUTI,B279,Suceava,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",madalina.fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
647,648,SOCIETATEA NEFROMED SRL,B280,Timis,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",madalina.fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
648,649,SOCIETATEA FRESENIUS NEPHROCARE ROMANIA SRL - PUNCT DE LUCRU VASLUI,B281,Vaslui,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",Madalina.Fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
649,650,SOCIETATEA FRESENIUS NEPHROCARE ROMANIA SRL - PUNCT DE LUCRU SIGHET,B282,Maramures,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",madalina.fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
650,651,SOCIETATEA FRESENIUS NEPHROCARE ROMANIA SRL - PUNCT DE LUCRU IASI 2,B283,Iasi,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",madalina.fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
651,652,SOCIETATEA FRESENIUS NEPHROCARE ROMANIA SRL- PUNCT DE LUCRU DEJ,B284,Cluj,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",madalina.fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
652,653,SOCIETATEA FRESENIUS NEPHROCARE ROMANIA SRL - PUNCT DE LUCRU MEDGIDIA,B285,Constanta,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",madalina.fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
653,654,SOCIETATEA FRESENIUS NEPHROCARE ROMANIA SRL - PUNCT DE LUCRU CAMPULUNG,B286,Arges,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",madalina.fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
654,655,SOCIETATEA FRESENIUS NEPHROCARE ROMANIA SRL- PUNCT DE LUCRU TURDA,B287,Cluj,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",madalina.fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
655,656,SOCIETATEA NEFROMED DIALYSIS CENTERS SRL - PUNCT DE LUCRU PIATRA-NEAMT,B288,Neamt,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",madalina.fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
656,657,SOCIETATEA NEFROMED DIALYSIS CENTERS SRL - PUNCT DE LUCRU CLUJ-NAPOCA,B289,Cluj,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",madalina.fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
657,658,SOCIETATEA NEFROMED DIALYSIS CENTERS SRL - PUNCT DE LUCRU BARLAD,B290,Vaslui,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",madalina.fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
658,659,SOCIETATEA NEFROMED DIALYSIS CENTERS SRL - PUNCT DE LUCRU BAIA MARE,B291,Maramures,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",madalina.fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
659,660,SOCIETATEA NEFROMED DIALYSIS CENTERS SRL - PUNCT DE LUCRU ALBA IULIA,B292,Alba,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",madalina.fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
660,661,SOCIETATEA FRESENIUS NEPHROCARE ROMANIA SRL - PUNCT DE LUCRU IASI,B293,Iasi,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",madalina.fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
661,662,SOCIETATEA FRESENIUS NEPHROCARE ROMANIA SRL - PUNCT DE LUCRU RAMNICU VALCEA,B294,Valcea,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",madalina.fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
662,663,SOCIETATEA FRESENIUS NEPHROCARE ROMANIA SRL - PUNCT DE LUCRU DROBETA TURNU-SEVERIN,B295,Mehedinti,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",madalina.fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
663,664,SOCIETATEA FRESENIUS NEPHROCARE ROMANIA SRL + CABINET DE SPECIALITATE NEFROLOGIE - PUNCT DE LUCRU CRAIOVA,B296,Dolj,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",madalina.fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
664,665,SOCIETATEA FRESENIUS NEPHROCARE ROMANIA SRL + CABINET DE SPECIALITATE NEFROLOGIE - PUNCT DE LUCRU PLOIESTI,B297,Prahova,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",madalina.fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
665,666,SOCIETATEA FRESENIUS NEPHROCARE ROMANIA SRL - PUNCT DE LUCRU TULCEA,B298,Tulcea,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",madalina.fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
666,667,SOCIETATEA FRESENIUS NEPHROCARE ROMANIA SRL - PUNCT DE LUCRU TARGOVISTE,B299,Dambovita,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",madalina.fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
667,668,SOCIETATEA FRESENIUS NEPHROCARE ROMANIA SRL - PUNCT DE LUCRU SLOBOZIA,B300,Ialomita,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",madalina.fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
668,669,SOCIETATEA FRESENIUS NEPHROCARE ROMANIA SRL + CABINET DE SPECIALITATE NEFROLOGIE - PUNCT DE LUCRU GIURGIU,B301,Giurgiu,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",madalina.fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
669,670,SOCIETATEA FRESENIUS NEPHROCARE ROMANIA SRL - PUNCT DE LUCRU SATU MARE,B302,Satu Mare,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",madalina.fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
670,671,SOCIETATEA FRESENIUS NEPHROCARE ROMANIA SRL - PUNCT DE LUCRU DEVA,B303,Hunedoara,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",madalina.fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
671,672,SOCIETATEA FRESENIUS NEPHROCARE ROMANIA SRL + CABINET DE SPECIALITATE NEFROLOGIE - PUNCT DE LUCRU SUCEAVA,B304,Suceava,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",madalina.fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
672,673,SOCIETATEA FRESENIUS NEPHROCARE ROMANIA SRL - PUNCT DE LUCRU PITESTI,B305,Arges,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",madalina.fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
673,674,SOCIETATEA FRESENIUS NEPHROCARE ROMANIA SRL - PUNCT DE LUCRU BRASOV,B306,Brasov,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",madalina.fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
674,675,SOCIETATEA FRESENIUS NEPHROCARE ROMANIA SRL - PUNCT DE LUCRU ONESTI,B307,Bacau,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",madalina.fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
675,676,SOCIETATEA FRESENIUS NEPHROCARE ROMANIA SRL - PUNCT DE LUCRU BACAU,B308,Bacau,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",madalina.fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
676,677,SOCIETATEA FRESENIUS NEPHROCARE ROMANIA SRL - PUNCT DE LUCRU ORADEA,B309,Bihor,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",madalina.fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
677,678,SOCIETATEA FRESENIUS NEPHROCARE ROMANIA SRL - UNITATE SATELIT ORADEA,B310,Bihor,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",madalina.fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
678,679,SOCIETATEA FRESENIUS NEPHROCARE ROMANIA SRL - PUNCT DE LUCRU CONSTANTA,B311,Constanta,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",madalina.fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
679,680,SOCIETATEA FRESENIUS NEPHROCARE ROMANIA SRL + CABINET DE SPECIALITATE NEFROLOGIE - PUNCT DE LUCRU BUCURESTI,B312,Bucuresti,Neclasificat,specialitate,privat,fara invatamant,"soseaua Bucuresti-Ploiesti nr. 19-21, Baneasa Business Center, etaj 3",madalina.fataila@fmc-ag.com,www.nephrocare.ro,privat,-,Unitate aflata in proces de acreditare,,,
680,681,MEDISS CENTER SRL,B314,Neamt,Neclasificat,specialitate,privat,fara invatamant,B-dul Mihai Eminescu nr. 23A��,medisscenter@yahoo.com,www.medisscenter.ro,privat,-,Unitate aflata in proces de acreditare,,,
681,682,NEFROLAB SRL - PUNCT DE LUCRU CARACAL,B315,Olt,Neclasificat,specialitate,privat,fara invatamant,"615200 Targu Neamt, Romania",anca.constantin@bbraun.com,www.bbraun.ro,privat,-,Unitate aflata in proces de acreditare,,,
682,683,NEFROLAB SRL - PUNCT DE LUCRU SLATINA,B316,Olt,Neclasificat,specialitate,privat,fara invatamant,"Strada Bernd Braun, nr. 1, Sanandrei, TIMIS",anca.constantin@bbraun.com,www.bbraun.ro,privat,-,Unitate aflata in proces de acreditare,,,
683,684,ANGIOCARE SRL,B317,Cluj,Neclasificat,general,privat,fara invatamant,Cluj-Napoca str.Republicii nr.8,office@monza-ares.ro,www.spitalulmonza.ro,fond de investitii privat/actionariat privat,-,Unitate aflata in proces de acreditare,,,
684,685,PROESTETICA HOSPITAL SRL,B318,Bucuresti,Neclasificat,specialitate,privat,fara invatamant,"Str. Tony Bulandra, Nr. 27",secretariat@spitalulmonza.ro,www.spitalulmonza.ro,"S.C. CENTRUL MEDICAL ""POLICLINICO DI MONZA"" S.R.L.",-,Unitate aflata in proces de acreditare,,,
685,686,"CENTRUL MEDICAL ""POLICLINICO DI MONZA"" SRL - UNITATE SANITARA PRIVATA CU PATURI",B319,Bucuresti,Neclasificat,general,privat,fara invatamant,"Str. Tony Bulandra, Nr. 27",secretariat@spitalulmonza.ro,www.spitalulmonza.ro,SC CENTRUL MEDICAL POLICLINICO DI MONZA SRL,-,Unitate aflata in proces de acreditare,,,
686,687,"FUNDATIA MEDICALA ""SPERANTA BOLNAVILOR",B320,Neamt,Neclasificat,general,privat,fara invatamant,"strada Principala, nr.13, sat Barticesti, comuna Botesti, judet Neamt",contact@cmbarticesti.ro,cmbarticesti,Fundatia Medicala Speranta Bolnavilor,-,Unitate aflata in proces de acreditare,,,
687,688,S.C. MEDEUROPA S.R.L.,B321,Constanta,Neclasificat,specialitate,privat,fara invatamant,"str. Turnului, nr. 5, �Corp central tehnico-administrativ�, biroul nr. 22, et.I, Brasov",office@medeuropa.ro,www.medeuropa.ro,S.C. MEDEUROPA S.R.L.,-,Unitate aflata in proces de acreditare,,,
688,689,SOCIETATEA CENTRUL MEDICAL SF. NICOLAE SRL,B322,Iasi,Neclasificat,general,privat,fara invatamant,"Strada Bernd Braun, nr. 1, Sanandrei, TIMIS",doinasau@yahoo.com,www.sfniasi.ro,privat,-,Unitate aflata in proces de acreditare,,,
689,690,SOCIETATEA SANOPTIC SRL,B323,Iasi,Neclasificat,specialitate,privat,fara invatamant,"Strada Bernd Braun, nr. 1, Sanandrei, TIMIS",office@sanoptic.ro,www.sanoptic.ro,privat,-,Unitate aflata in proces de acreditare,,,
690,691,SOCIETATEA CARDIOMED SRL,B324,Iasi,Neclasificat,specialitate,privat,fara invatamant,"IASI, Aleea Tudor Neculai, nr 72",cardiomediasi@gmail.com,www.cardiomediasi.ro,SC CARDIOMED SRL,-,Unitate aflata in proces de acreditare,,,
691,692,SC MEDICAL CITY BLUE SRL,B325,Bucuresti,Neclasificat,specialitate,privat,fara invatamant,"Str. Petofi Sandior, nr 21, sector 1, Bucuresti",office@centrul-provita.ro,www.centrul-provita.ro,MEDICAL CITY BLUE SRL,-,Unitate aflata in proces de acreditare,,,
692,693,RODERMA SRL,B326,Iasi,Neclasificat,specialitate,privat,fara invatamant,"Strada Bernd Braun, nr. 1, Sanandrei, TIMIS",caluschi@roderma.ro,www.roderma.ro,privat,-,Unitate aflata in proces de acreditare,,,
693,694,SOCIETATEA AVITUM SRL - PUNCT DE LUCRU DOROHOI,B327,Botosani,Neclasificat,specialitate,privat,fara invatamant,"Strada Bernd Braun, nr. 1, Sanandrei, TIMIS",corina.marosi@bbraun.com,www.bbraun.ro,privat,-,Unitate aflata in proces de acreditare,,,
694,695,SC EURODIALIZA SRL - PUNCT DE LUCRU MANGALIA,B328,Constanta,Neclasificat,specialitate,privat,fara invatamant,"Aleea Egretei 2, Loc. Constanta, Jud. Constanta",eurodializa@yahoo.com,eurodializa.eu,privat,-,Unitate aflata in proces de acreditare,,,
695,696,SC ENDODIGEST SRL - PUNCT DE LUCRU,B329,Bihor,Neclasificat,specialitate,privat,fara invatamant,OLIMPIADEI 5,endodigest@yahoo.com,www.endodigest.ro,ENDODIGEST SRL,-,Unitate aflata in proces de acreditare,,,
696,697,CENTRUL MEDICAL UNIREA SRL - SPITAL REGINA MARIA,B330,Cluj,IV,specialitate,privat,fara invatamant,"D-dul Ion Ionescu de la Brad nr. 5B, sector 1, Bucuresti",office@reginamariacluj.ro,https://www.reginamaria.ro/spitale/spitalul-cluj,CENTRUL MEDICAL UNIREA,-,Unitate aflata in proces de acreditare,,,
697,698,MAT CORD BIOMEDICA SRL,B331,Buzau,Neclasificat,specialitate,privat,fara invatamant,STR TUDOR VLADIMIRESCU BLR 3B PARTER,matcord_biomedica@yahoo.com,www.matcord.ro,MAT CORD BIOMEDICA SRL,-,Unitate aflata in proces de acreditare,,,
698,699,SOCIETATEA MISAN MED SRL,B332,Sibiu,Neclasificat,general,privat,fara invatamant,"Sibiu, str. Hipodromului, nr. 3B",misanmed@yahoo.com,www.misanmed.ro,Administrator,-,Unitate aflata in proces de acreditare,,,
699,700,GASTROMED SRL,B333,Constanta,Neclasificat,specialitate,privat,fara invatamant,"Constanta, Strada Bucuresti Nr. 21",clinica360@gmail.com,https://www.clinica360.ro/,Gastromed SRL,-,Unitate aflata in proces de acreditare,,,
700,701,SFANTA SOFIA HOSPITAL MED S.R.L,B334,Prahova,V,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,"COM. MAGURELE, SAT MAGURELE, NR. 585, JUD, PRAHOVA",sofiahospitalmed@yahoo.com,www.sfantasofia.ro,S.C. SFANTA SOFIA HOSPITAL MED S.R.L,-,Unitate aflata in proces de acreditare,,,
701,702,INFOSAN SRL,B335,Bucuresti,Neclasificat,specialitate,privat,fara invatamant,"Bucuresti, str. Paul Greceanu, nr.13, bl.21, sc.B, parter, ap.56, sector 2",office@infosan.com.ro,www.infosan.ro,Adunarea Generala a Asociatilor,-,Unitate aflata in proces de acreditare,,,
702,703,CLINICA GASTRO MED,B336,Cluj,Neclasificat,specialitate,privat,fara invatamant,STRADA MOLDOVEI NR 3 CLUJ-NAPOCA,contact@clinica-gastromed.ro,www.clinica-gastromed.ro,GASTRO MED SRL,-,Unitate aflata in proces de acreditare,,,
703,704,SC DR. AMER CLINIC SRL REGENMED - SPITAL PRIVAT DE RECUPERARE,B337,Mures,Neclasificat,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,"Tg-Mures, Str. Cornesti, Nr.65",office@regenmed.ro,www.regenmed.ro,SC DR. AMER CLINIC SRL,-,Unitate aflata in proces de acreditare,,,
704,705,CENTRUL MEDICAL OVIDIUS SRL,B338,Buzau,Neclasificat,general,privat,fara invatamant,"Str. Colonel Ion Buzoianu, nr. 14 bis, Buzau, jud. Buzau",ovidius.medical@yahoo.ro,www.ovidiusmedical.ro,Fara autoritate tutelara,-,Unitate aflata in proces de acreditare,,,
705,706,SC PATRIK MEDICAL CENTER SRL,B339,Prahova,V,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,"Ors. Baicoi, str. Lebedei, nr.3",patrikmedicalcenter@yahoo.com,http://www.patrikmedicalcenter.ro,SC PATRIK MEDICAL CENTER SRL,-,Unitate aflata in proces de acreditare,,,
706,707,SC AMAMED EXPERT CENTER SRL,B340,Buzau,Neclasificat,general,privat,fara invatamant,"Str. Matei Basarab, nr. 71, Ramnicu Sarat, jud. Buzau",amamed2017@gmail.com,http://amamedexpertcenter.ro/,SC AMAMED EXPERT CENTER SRL,-,Unitate aflata in proces de acreditare,,,
707,708,MEDEUROPA S.R.L.,B341,Bucuresti,Neclasificat,specialitate,privat,fara invatamant,"str. Turnului, nr. 5",bucuresti@medeuropa.ro,www.medeuropa.ro,S.C. MedEuropa S.R.L.,-,Unitate aflata in proces de acreditare,,,
708,709,SOCIETATEA POZITRON MEDICAL INVESTIGATION SRL,B342,Constanta,Neclasificat,specialitate,privat,fara invatamant,"STR.MIRCEA CEL BATRAN NR.102,CORP C2,DEMISOL SI PARTER",office.pozimed@reginamaria.ro,http://www.reginamaria.ro/clinici/policlinica-pozimed,SC POZITRON MEDICAL INVESTIGATION SRL,-,Unitate aflata in proces de acreditare,,,
709,710,CENTRUL MEDICAL RENASTEREA SRL,B343,Dolj,Neclasificat,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,"Str. Doljului, nr. 35, Craiova, Judet Dolj",centrul_renasterea@rdsmail.ro,www.centrul-renasterea.ro,CENTRUL MEDICAL RENASTEREA,-,Unitate aflata in proces de acreditare,,,
710,711,SOCIETATEA VITAL MEDICAL CENTER MEMORY SRL - CENTRUL DE DIALIZA DMD,B344,Iasi,Neclasificat,specialitate,privat,fara invatamant,"Strada Aurel Vlaicu 81, Iasi 707252",dializadmd@gmail.com,dializadmd.ro,privat,-,Unitate aflata in proces de acreditare,,,
711,712,ANGISAN SRL,B345,Buzau,Neclasificat,specialitate,privat,fara invatamant,"str democratiei, nr. 83, buzau",angisanmedical@gmail.com,www.angisanmedical.ro,sc angi san srl,-,Unitate aflata in proces de acreditare,,,
712,713,"SC RITMIC MEDICAL SRL- CENTRU DE INGRIJIRI PALIATIVE ""SF. MC. ZENOVIE DOCTOR",B346,Suceava,V,afectiuni cronice,privat,fara invatamant,"STR. UNIVERSITatII, NR. 23, MUN. SUCEAVA, JUD. SUCEAVA",ritmicmedical.receptie@gmail.com,www.ritmicmedical.ro,SC RITMIC MEDICAL SRL,-,Unitate aflata in proces de acreditare,,,
713,714,CENTRUL MEDICAL MEDINVEST SRL - SPITALUL MEDINVEST MARACINENI,B347,Buzau,Neclasificat,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,"STR. SPIRU HARET, BL.19B, AP.1+3, BUZAU, JUD. BUZAU",medinvestspital@yahoo.com,www.medinvest.ro,SC CENTRUL MEDICAL MEDINVEST SRL,-,Unitate aflata in proces de acreditare,,,
714,715,CENTRUL MEDICAL QUALITYLIFE S.R.L.,B348,Dolj,V,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,"strada Amaradia, nr.10, loc. Craiova, jud. Dolj",paliatie2019@yahoo.com,https://qualitylife.ro/,CENTRUL MEDICAL QUALITYLIFE,-,Unitate aflata in proces de acreditare,,,
715,716,MEDCON SRL,B349,Buzau,Neclasificat,specialitate,privat,fara invatamant,"Strada Colonel Ion Buzoianu, nr. 55, Buzau, cod postal 120203 , jud. Buzau",medconbuzau@gmail.com,www.medconbz.ro,privat,-,Unitate aflata in proces de acreditare,,,
716,717,SC DOMUS MED SRL,B350,Olt,Neclasificat,pentru bolnavi cu afectiuni cronice,privat,fara invatamant,"BUCURESTI, SECT 3, STR VITIOARA NR 39E",domusmed@yahoo.com,www.domusmed.ro,DOMUS MED,-,Unitate aflata in proces de acreditare,,,
717,718,CARDIO CLINIQUE NCS SRL,B351,Buzau,Neclasificat,specialitate,privat,fara invatamant,"str. SOROCA, nr.23, ap.1",drsavacardiologie@yahoo.com,cardioclinique.ro,CARDIO CLINIQUE NCS SRL,-,Unitate aflata in proces de acreditare,,,
718,719,ONCO CLINIC CONSULT SA,B352,Dolj,Neclasificat,afectiuni cronice,privat,fara invatamant,CRAIOVA DOLJ,receptie@oncoclinic.ro,oncoclinic.ro,ONCO CLINIC CONSULT SA,-,Unitate aflata in proces de acreditare,,,
